"Name deutsch","Name englisch","URL der Einrichtung","Einrichtungsart","DFG Instituts ID","GRID ID","span"
"Gemeinschaftsausschuss Verzinken e.V.","Joint Committee on Galvanizing","www.gav-verzinken.de/","Sonst. Forschg",388550357,,
"Gemeinschaftspraxis für Pathologie","Pathology Associates Frankfurt/Germany","www.pathologie-frankfurt.de/","Sonst. Forschg",19289483,,
"General Numerics Research Lab e.V.","General Numerics Research Lab","www.general-numerics-rl.de","Sonst. Forschg",262309906,,
"Generaldirektion Kulturelles Erbe Rheinland-Pfalz","Directorate-General Cultural Heritage (GDKE)","www.gdke-rlp.de/","Landesforschung",81160129,"grid.461682.f",
"Generaldirektion Kulturelles Erbe Rheinland-Pfalz","Directorate-General Cultural Heritage (GDKE)","www.gdke-rlp.de/","Landesforschung",81160129,"grid.461682.f","Direktion Landesarchäologie Mainz"
"Generaldirektion Kulturelles Erbe Rheinland-Pfalz","Directorate-General Cultural Heritage (GDKE)","www.gdke-rlp.de/","Landesforschung",81160129,"grid.461682.f","Landesarchäologie Außenstelle Koblenz"
"Generaldirektion Kulturelles Erbe Rheinland-Pfalz","Directorate-General Cultural Heritage (GDKE)","www.gdke-rlp.de/","Landesforschung",81160129,"grid.461682.f","Landesarchäologie Außenstelle Speyer"
"Geologischer Dienst Nordrhein-Westfalen  Landesbetrieb","Geological Service North Rhine-Westphalia (GD NRW) - State Institution","www.gd.nrw.de/","Landesforschung",13005,,
"Geologisches Landesamt Hamburg","Geological State Office Hamburg","www.hamburg.de/stadt-staat/","Sonst. Forschg",20690300,,
"Georg-August-Universität Göttingen","University of Göttingen","www.uni-goettingen.de","Universität",10236,"grid.7450.6","Campus Institut für Dynamik biologischer Netzwerke (CIDBN)"
"Georg-August-Universität Göttingen","University of Göttingen","www.uni-goettingen.de","Universität",10236,"grid.7450.6","Centre for Modern Indian Studies (CeMIS)"
"Georg-August-Universität Göttingen","University of Göttingen","www.uni-goettingen.de","Universität",10236,"grid.7450.6","Courant Forschungszentrum Armut, Ungleichheit und Wachstum in Entwicklungsländern"
"Georg-August-Universität Göttingen","University of Göttingen","www.uni-goettingen.de","Universität",10236,"grid.7450.6","Courant Forschungszentrum Bildung und Religion"
